,date,hour,minutes,length,porch,distance2center1,distance2center2,price
0,2017-02-28,21,40,0,1,0,0,150
1,2017-04-17,1,46,0,1,0,0,150
2,2017-04-19,11,27,2,0,0,2,165
3,2017-03-04,11,52,0,1,0,0,105
4,2017-03-21,15,41,2,0,0,1,155
5,2017-04-03,13,29,2,0,0,2,185
6,2017-03-16,12,51,1,0,0,0,125
7,2017-03-13,1,47,1,1,0,1,125
8,2017-02-05,16,20,6,0,0,5,330
9,2017-02-08,15,19,1,1,0,0,120
10,2017-04-28,8,54,0,0,0,0,115
11,2017-03-28,16,46,2,0,3,1,195
12,2017-02-22,7,52,1,1,0,0,125
13,2017-03-19,17,54,0,0,0,0,100
14,2017-02-06,17,27,1,1,0,0,145
15,2017-03-28,9,55,1,0,0,1,145
16,2017-02-11,15,49,0,1,0,0,100
17,2017-04-13,15,45,0,0,0,0,105
18,2017-04-30,16,18,1,0,0,0,130
19,2017-02-26,17,52,0,1,0,0,110
20,2017-02-11,19,33,0,1,0,0,100
21,2017-03-03,8,12,2,0,0,1,195
22,2017-03-11,8,3,1,0,0,1,165
23,2017-03-05,10,4,2,1,0,2,170
24,2017-04-01,21,9,4,0,0,4,275
25,2017-04-07,19,50,1,0,0,0,140
26,2017-04-04,13,49,0,1,0,0,105
27,2017-04-28,6,29,2,0,1,0,165
28,2017-02-19,14,31,1,1,2,3,220
29,2017-04-18,18,16,6,1,5,0,340
30,2017-04-30,8,33,1,1,0,0,150
31,2017-04-12,13,51,1,0,1,0,130
32,2017-04-02,20,13,3,0,2,0,185
33,2017-03-04,11,19,0,0,0,0,120
34,2017-04-10,20,54,1,0,0,0,120
35,2017-03-12,14,15,1,1,0,0,135
36,2017-04-09,20,21,1,1,0,0,150
37,2017-03-01,11,13,2,1,0,1,160
38,2017-03-16,16,21,0,1,0,0,115
39,2017-02-10,8,44,1,1,0,1,185
40,2017-03-15,14,30,0,0,0,0,150
41,2017-03-19,16,51,1,0,0,0,120
42,2017-05-01,16,43,0,1,0,0,105
43,2017-02-27,16,14,2,0,1,0,175
44,2017-02-23,6,39,1,1,0,0,135
45,2017-04-15,17,42,7,0,7,0,460
46,2017-02-08,20,12,2,0,2,1,190
47,2017-03-17,9,41,0,1,0,0,135
48,2017-03-27,16,23,1,1,0,0,135
49,2017-04-29,13,35,3,1,0,3,220
50,2017-04-06,17,9,4,1,4,7,515
51,2017-02-13,17,40,3,0,3,0,215
52,2017-02-15,19,37,1,1,1,1,155
53,2017-03-01,17,56,1,0,0,0,145
54,2017-04-21,5,18,2,0,2,3,250
55,2017-04-27,12,57,1,1,0,0,120
56,2017-02-19,11,55,3,1,0,2,200
57,2017-03-27,7,7,1,1,0,0,120
58,2017-03-12,8,19,0,1,0,0,120
59,2017-03-09,18,44,2,1,2,1,175
60,2017-04-13,17,34,1,0,0,0,130
61,2017-02-19,8,53,3,1,3,0,235
62,2017-03-25,3,25,1,1,0,1,150
63,2017-02-15,8,32,1,1,0,0,130
64,2017-02-09,13,40,1,0,1,1,135
65,2017-02-20,6,30,0,1,0,0,150
66,2017-04-25,19,57,0,1,0,0,120
67,2017-02-22,15,41,3,0,0,2,180
68,2017-04-08,13,4,1,1,1,2,180
69,2017-02-11,18,22,1,1,1,0,165
70,2017-02-14,23,8,0,1,0,0,100
71,2017-03-01,6,25,2,0,0,1,145
72,2017-04-21,23,28,1,1,0,0,140
73,2017-02-07,18,16,2,1,0,1,155
74,2017-03-23,17,25,2,1,0,1,160
75,2017-02-03,8,6,1,0,1,0,170
76,2017-03-12,13,34,5,1,0,5,305
77,2017-04-13,8,49,2,0,0,1,160
78,2017-02-18,13,38,5,1,0,5,335
79,2017-04-28,18,26,0,0,0,0,105
80,2017-03-08,11,13,3,1,0,2,210
81,2017-03-10,2,30,2,1,0,2,195
82,2017-04-06,10,29,1,0,0,0,120
83,2017-02-24,18,55,4,1,0,3,235
84,2017-03-05,14,43,0,0,0,0,150
85,2017-03-06,11,2,8,1,7,0,465
86,2017-02-14,20,2,0,0,0,0,115
87,2017-03-25,12,9,0,1,0,0,100
88,2017-03-01,12,53,3,0,0,2,185
89,2017-03-15,8,38,0,1,0,0,150
90,2017-02-13,13,26,1,1,1,0,160
91,2017-03-05,10,12,0,1,1,1,115
92,2017-05-02,20,47,1,1,0,0,135
93,2017-03-12,14,29,2,1,0,1,150
94,2017-04-14,11,34,1,1,0,0,155
95,2017-04-09,12,41,0,0,1,1,130
96,2017-04-16,17,57,6,0,5,0,330
97,2017-02-28,20,54,5,0,0,4,285
98,2017-03-18,11,5,1,1,0,0,135
99,2017-03-26,17,43,3,1,0,3,215
100,2017-04-15,18,48,1,1,0,1,135
101,2017-04-30,6,44,0,0,0,0,110
